2624 1968
528.378 478.106,704.42 470.285,890.94 471.221,1080.72 471.716,1270.23 475.456,1455.4 484.411,1635.67 494.87,1805.35 507.615,1964.67 521.709,506.346 652.955,689.325 650.276,879.516 648.487,1075.32 649.385,1270.44 652.709,1461.72 658.172,1646.24 666.567,1820.95 675.372,1983.51 685.21,488.866 839.779,675.142 839.056,870.562 839.323,1071.32 840.29,1271.17 842.558,1467.12 845.594,1656.29 849.428,1834.31 853.697,2000.57 858.096,475.778 1036.35,665.626 1038.12,863.728 1039.84,1068.34 1040.8,1272.1 1041.69,1471.64 1041.74,1664.49 1041.6,1845.27 1040.74,2014.29 1039.38,467.537 1237.52,659.686 1242.36,860.566 1245.46,1067.61 1246.7,1273.86 1245.74,1475.71 1243.1,1670.78 1238.23,1853.22 1232.15,2022.68 1225.04,466.614 1440.25,659.071 1448.07,860.992 1452.98,1068.77 1454.12,1275.9 1451.63,1478.64 1445.5,1674.27 1436.58,1857.63 1425.03,2027.93 1411.93
477.04 600.757,618.686 584.526,780.425 574.884,952.492 562.951,1135.26 552.582,1327.62 547.318,1526.25 543.145,1725.13 542.51,1921.72 544.853,445.622 760.998,594.144 753.82,755.538 745.521,932.792 738.519,1121.73 732.78,1320.29 728.28,1526.94 727.462,1734.16 726.89,1938.14 728.307,418.115 932.254,567.479 930.54,733.522 929.565,914.928 928.306,1109.11 927.616,1313.85 927.391,1527.01 927.227,1741.1 927.422,1951.97 927.545,393.329 1111.83,545.461 1117.64,713.148 1123.63,898.115 1129.08,1096.54 1134.03,1306.36 1137.85,1525.31 1140.39,1745.11 1141.25,1962.03 1140.41,372.682 1296.31,526.334 1310.26,696.321 1323.98,883.473 1336.47,1085.09 1347.26,1298.84 1355.99,1521.63 1361.09,1746.02 1363.21,1966 1361.69,359.187 1483.7,512.428 1505.61,684.164 1526.93,872.622 1547.19,1075.7 1564.05,1291.28 1577.2,1516.31 1585.45,1742.7 1588.38,1965.44 1586.06
711.727 409.923,904.582 405.856,1090.93 413.292,1270.43 419.122,1438.3 427.425,1591.99 439.94,1735.14 452.7,1864.41 466.01,1982.3 479.291,711.95 581.821,912.418 579.337,1107.26 577.707,1293.02 579.715,1465.77 583.883,1624.8 589.605,1769.36 597.87,1901.24 605.434,2020.31 613.258,716.172 771.967,924.187 764.202,1125.55 759.414,1317.33 755.512,1494.41 753.753,1656.84 753.045,1804.68 753.544,1937.86 754.408,2058.18 755.395,724.929 977.492,939.854 965.704,1147.03 954.527,1343.63 944.195,1524.52 934.539,1689.51 926.198,1839.56 918.72,1973.52 912.181,2094.76 905.544,739.287 1195.44,959.255 1177.77,1171.34 1159.95,1371.74 1141.74,1555.56 1123.83,1722.55 1107.06,1873.33 1090.63,2007.4 1075.59,2127.76 1061.52,759.25 1420.41,982.691 1397.81,1197.03 1372.8,1400.51 1346.42,1585.63 1319.61,1753.29 1293.34,1904.41 1267.89,2039 1244.06,2159.18 1221.45
669.046 579.623,886.553 582.616,1092.31 589.436,1287.44 597.396,1466.06 607.35,1625.56 618.484,1771.13 629.818,1900.19 641.186,2015.67 652.382,668.2 799.795,882.77 797.174,1088.68 796.149,1282.38 796.208,1459.4 797.451,1619.82 799.619,1763.31 801.761,1892.86 804.596,2008.26 807.509,673.307 1017.11,884.386 1008.4,1086.53 1000.08,1277.26 992.051,1451.55 984.882,1610.43 978.292,1753.93 971.956,1882.58 966.419,1998.49 961.531,683.388 1225.58,889.385 1211.79,1086.7 1197.35,1273.16 1181.81,1444.5 1166.96,1600.73 1152.31,1742.8 1138.31,1870.41 1124.85,1986.11 1112.69,697.357 1421.85,897.143 1402.9,1088.95 1382.99,1270.5 1361.64,1438.01 1339.92,1590.8 1318.57,1730.81 1297.2,1856.36 1276.63,1970.14 1257.73,714.323 1601.52,906.902 1580.18,1091.53 1555.3,1267.71 1529.49,1430.34 1502.4,1579.78 1474.76,1716.64 1447.65,1840.75 1421.52,1953.48 1396.87
498.195 616.242,637.666 593.57,802.214 570.054,980.688 546.446,1175.12 523.733,1385.36 503.479,1606.7 485.913,1832.33 472.364,2057.57 463.287,521.235 793.615,665.437 779.376,824.15 764.687,1001.84 749.445,1194.81 734.822,1401.72 721.269,1620.75 708.157,1843.94 697.711,2066.24 689.65,549.118 967.71,691.241 961.64,850.364 954.952,1025.76 947.889,1215.67 940.641,1418.29 933.382,1632.55 925.608,1850.32 917.888,2068.56 911.43,579.574 1136.04,721.112 1137.34,877.134 1138.55,1049.54 1138.59,1235.37 1137.88,1432.81 1136.01,1641.18 1133.08,1852.64 1128.23,2064.36 1123.27,611.505 1295.73,751.491 1303.51,904.738 1311.04,1073.5 1317.57,1254.13 1322.45,1445.69 1325.55,1646.71 1325.78,1851.21 1323.53,2055.12 1319.32,646.429 1445.26,783.085 1458.77,933.739 1471.16,1097.48 1483.04,1272.26 1492.35,1457.06 1498.69,1650.28 1502.28,1846.3 1502.43,2042.51 1499.48
652.082 419.045,821.834 414.233,998.33 417.615,1176.26 420.996,1351.98 427.435,1521.94 438.352,1687.28 450.943,1842.33 465.109,1988.33 480.649,635.576 584.46,810.929 583.853,990.325 584.27,1172.71 587.418,1352.45 593.086,1527.36 600.569,1695.11 610.877,1853.86 621.431,2002.23 633.047,622.819 760.323,800.741 759.88,984.119 761.685,1169.93 764.219,1352.93 768.244,1531.18 773.483,1702.27 779.522,1863.38 786.132,2014.33 792.995,613.474 943.337,793.925 944.794,979.422 946.633,1167.9 948.593,1353.66 950.551,1534.08 952.841,1707.72 955.298,1870.55 957.243,2023.28 959.097,607.822 1130.29,789.704 1133.3,976.968 1135.41,1167.17 1136.46,1354.45 1136.58,1536.45 1135.71,1711.26 1133.77,1874.83 1131.38,2027.81 1128.37,607.55 1318.04,789.363 1322.6,976.916 1325.29,1167.5 1325.52,1354.91 1323.54,1537.23 1319.36,1712.19 1313.67,1876.57 1306.47,2029.6 1298.41
690.74 460.786,862.587 447.579,1035.36 446.453,1206.1 443.087,1370.79 442.366,1527.27 447.084,1676.31 452.183,1814.65 459.169,1943.62 466.703,680.769 595.78,862.974 587.089,1045.24 578.6,1225.41 573.763,1398.42 571.508,1562.91 571.33,1717 575.284,1860.73 578.405,1993.17 582.71,672.653 749.587,864.93 738.23,1057.43 729.691,1247.2 722.254,1428.58 717.117,1600.43 713.473,1761.09 711.549,1909.22 710.369,2045.09 709.638,666.602 922.453,869.55 910.323,1072.32 898.348,1271.99 887.795,1462.18 878.169,1640.94 869.633,1807.71 862.367,1959.57 855.709,2099.01 849.299,663.541 1113.78,877.053 1099.72,1090.55 1084.99,1300.26 1069.81,1498.82 1054.73,1684.44 1040.37,1856.06 1026.32,2011.39 1013.46,2152.03 1000.75,666.122 1324.25,889.116 1308.68,1112.09 1290.53,1331.13 1269.9,1537.26 1248.47,1728.85 1226.52,1904.82 1204.48,2063.41 1183.31,2206.19 1162.57
615.448 621.694,814.5 613.911,1021.4 607.399,1228.45 603.677,1430.72 603.298,1623.38 605.348,1806.76 609.627,1974.51 615.513,2129 623.03,629.853 822.336,825.781 815.061,1026.43 809.172,1228.41 804.076,1425.95 800.683,1615.49 798.755,1793.02 796.82,1959.44 796.436,2111.75 797.377,648.443 1013.65,838.605 1007.88,1033.34 1001.43,1229.32 995.08,1420.46 988.726,1604.52 982.554,1778.76 976.486,1941.54 970.98,2091.84 966.222,669.757 1193.3,854.2 1188.34,1041.94 1182.29,1230.82 1174.5,1415.44 1165.86,1593 1156.55,1763.06 1146.7,1921.42 1136.15,2069.07 1126.72,692.77 1359.28,870.363 1354.75,1051.03 1348.53,1232.77 1340.24,1410.53 1329.78,1582.04 1318.02,1746.48 1304.59,1899.81 1290.25,2043.48 1276.1,717.634 1509.6,887.755 1506.42,1061.12 1499.61,1235.37 1491.22,1405.46 1479.58,1570.44 1465.36,1728.67 1449.63,1877.89 1432.67,2018.14 1415.56
679.77 584.377,913.63 572.111,1141.05 563.023,1358.48 558.21,1559.96 556.911,1740.52 558.445,1905.42 562.136,2050.85 566.703,2181.16 572.679,696.339 814.094,923.057 798.066,1144.46 784.23,1356.08 772.4,1551.74 762.838,1730.57 755.791,1890.56 749.258,2035.45 745.062,2163.96 741.852,718.415 1031.48,935.996 1012.29,1149.09 992.945,1353.3 975.28,1542.51 958.453,1716.34 943.387,1874.31 929.248,2016.46 916.576,2144.22 905.682,742.624 1231.87,951.354 1210.24,1154.96 1187.84,1350.91 1164.87,1533.34 1142.33,1701.68 1120.46,1856.1 1099.57,1995.03 1079.98,2121.62 1062.3,768.756 1413.78,967.399 1389.83,1161.71 1365.08,1349.2 1338.41,1524.52 1311.48,1686.79 1284.61,1836.78 1257.67,1972.41 1232.29,2095.8 1208.51,795.294 1574.45,983.76 1551.22,1168.26 1523.63,1347.02 1495.34,1514.85 1465.07,1671.19 1434.29,1816.22 1403.54,1948.71 1373.94,2069.9 1345.66
860.408 324.662,1065.72 334.708,1257.56 355.618,1438.91 374.949,1604.56 396.011,1752.6 419.178,1887.91 441.732,2008.07 463.594,2116.97 484.548,857.464 517.624,1068.21 527.373,1268.06 537.958,1453.95 551.83,1622.79 566.491,1774.84 581.876,1910.12 597.993,2031.95 613.208,2140.73 627.251,858.308 727.831,1075.23 730.093,1278.6 735.382,1468.6 740.796,1639.47 748.117,1793.38 754.937,1930.9 762.363,2053.24 769.631,2163.15 776.066,863.147 950.357,1083.65 946.888,1291.39 942.797,1483.32 940.388,1656.09 937.26,1810.81 935.532,1949.55 933.64,2071.99 932.219,2182.48 930.497,872.616 1180.34,1095.32 1168.18,1304.48 1156.13,1498.06 1143.22,1671.72 1131.13,1827.02 1119.09,1965.4 1107.85,2087.7 1096.95,2196.53 1087.44,885.754 1410.51,1108.57 1391.92,1317.28 1370.47,1510.99 1348.55,1684.77 1325.74,1839.23 1304.3,1977.55 1283.12,2099.4 1263.67,2208.63 1245.31
873.264 525.887,1011.75 509.231,1168.42 499.587,1334.52 487.438,1509.89 477.524,1693.3 472.705,1882.14 469.003,2071.43 469.003,2258.95 471.878,841.515 670.947,987.362 663.069,1144.66 654.3,1316.53 647.251,1498.68 641.738,1689.02 638.481,1886.12 638.759,2083.48 639.898,2278.64 643.274,811.547 827.332,958.702 824.49,1121.33 823.08,1297.94 821.428,1486 821.727,1683.02 822.105,1887.48 824.408,2092.29 827.142,2295.3 831.001,781.176 992.911,931.618 997.881,1096.47 1002.79,1277.57 1008.29,1470.66 1013.89,1673.71 1019.59,1884.69 1025.18,2096.67 1030.47,2306 1034.69,752.342 1165.17,904.347 1177.59,1071.73 1190.83,1256.19 1203.65,1453.35 1215.92,1661.26 1227.02,1877.74 1236.71,2094.91 1244.21,2308.69 1250.02,727.322 1342.36,879.486 1363.59,1048.51 1384.94,1234.57 1406.14,1434.06 1425.4,1645.48 1442.16,1865.61 1456.31,2087.1 1466.46,2304.88 1472.39
