3264 2448
747.244 734.489,950.011 725.744,1151.03 720.252,1350.24 712.144,1545.97 700.731,1738.87 696.143,1931.68 687.556,2120.7 681.255,2308.66 673.463,734.866 898.823,945.577 890.955,1153.24 881.563,1359.02 872.368,1561.21 862.874,1760.82 853.321,1958.79 847.248,2154.99 838.01,2349.06 828.582,722.736 1076.79,940.563 1066.66,1155.59 1056.41,1368.49 1045.56,1577.68 1035.48,1784.56 1024.08,1989.48 1015.08,2192.25 1004.84,2393.07 994.121,708.785 1267.85,935.105 1255.61,1157.62 1243.55,1378.51 1231.79,1595.45 1220.06,1809.35 1208.41,2021.89 1196.77,2231.46 1184.72,2439.74 1171.96,693.173 1473.21,928.625 1458.56,1160.19 1444.27,1389.32 1430.69,1614.4 1417.11,1836.58 1404.07,2056.65 1390.32,2274.03 1377.48,2489.57 1363.88,677.239 1695.25,921.342 1678.66,1162.56 1662.58,1401.19 1646.32,1634.84 1630.8,1864.94 1615.76,2093.78 1600.58,2319.37 1586,2542.99 1570.87
604.304 964.866,799.441 889.178,987.226 819.305,1167.47 750.266,1339.04 680.768,1503.43 620.37,1662.88 558.269,1815.04 500.811,1962.1 444.22,680.214 1123.51,880.144 1044.01,1070.36 966.81,1253.22 892.587,1427.5 821.853,1594.32 753.36,1755.11 690.433,1909.55 627.432,2058.3 566.47,761.728 1292.58,964.758 1206.37,1158.22 1123.94,1343.75 1044.21,1520.42 968.76,1690.1 895.275,1852.79 826.362,2009.22 758.854,2159.74 693.693,847.646 1471.49,1054.43 1378.26,1250.85 1289.41,1439.39 1204.16,1618.84 1122.73,1790.22 1045.55,1955.75 970.765,2113.86 898.561,2266.59 828.194,938.169 1660.61,1148.79 1559.38,1348.58 1463.5,1540.57 1371.79,1722.77 1284.27,1896.72 1201.34,2063.56 1121.08,2223.59 1044.43,2377.77 969.958,1034.57 1861.75,1248.94 1752.28,1452.46 1649.21,1647.57 1549.87,1832.36 1456.23,2007.76 1367.09,2177.22 1280.99,2339.33 1198.83,2495.28 1119.53
893.914 576.743,1064.69 608.573,1240.29 644.133,1420.07 677.882,1602.19 709.439,1788.7 747.293,1981.15 782.954,2176.46 821.013,2377.37 858.651,825.349 723.88,1001.33 759.778,1180.32 795.581,1364.44 832.345,1551.32 869.289,1742.45 906.523,1939.44 948.366,2140.66 988.052,2347.09 1028.65,753.722 880.491,933.555 918.525,1117.41 957.709,1305.78 997.135,1497.53 1037.72,1693.78 1077.65,1896.18 1121.37,2102.8 1164.65,2315.41 1208.56,677.256 1045.89,861.553 1086.74,1049.71 1128.76,1243.15 1171.85,1439.8 1215.67,1641.64 1260.56,1850.03 1306.77,2062.45 1353.37,2281.41 1400.95,595.67 1220.53,784.717 1264.39,978.005 1309.54,1176.72 1356.17,1378.7 1403.65,1586.3 1452.7,1800.56 1502.53,2019.55 1553.82,2244.78 1606.43,510.607 1406.39,703.125 1453.74,901.982 1503.19,1106.06 1553.3,1314.08 1604.79,1527.1 1657.81,1747.63 1712.47,1973.35 1768.69,2206.24 1826.5
732.421 717.527,950.762 715.544,1166.68 714.569,1380.05 712.476,1589.18 709.031,1794.44 707.838,1999.28 705.148,2199.55 702.669,2397.7 700.09,738.566 932.396,957.746 929.185,1172.94 925.638,1385.76 921.713,1594.59 917.901,1800.47 914.344,2003.55 911.137,2204.59 907.066,2403.36 902.826,745.554 1147.3,964.242 1142.04,1179.08 1137,1391.98 1131.59,1600.46 1126.33,1806.62 1121.52,2009.76 1116.59,2210.67 1111.27,2409.64 1105.75,751.914 1362.62,970.675 1355.49,1185.29 1348.75,1397.67 1342.09,1606.44 1335.56,1811.71 1329,2015.58 1322.52,2215.92 1315.76,2415.85 1309.5,757.542 1577.45,976.533 1568.34,1191.36 1559.97,1404.23 1551.88,1612.43 1544.08,1817.82 1536.19,2021.53 1527.93,2222.48 1520.12,2421.21 1512.6,764.376 1792.07,982.209 1781.86,1197.48 1771.26,1410.25 1761.61,1618.47 1752.18,1823.28 1742.65,2027.26 1733.2,2227.62 1724.47,2426.82 1715.69
659.722 773.347,915.417 736.719,1160.28 702.679,1396.21 668.842,1622.61 635.423,1836.92 605.05,2046.7 574.06,2245.51 545.301,2437.76 517.318,711.161 1023,963.636 982.177,1204.68 942.42,1436.95 903.748,1658.77 867.004,1872.16 831.797,2076.15 797.703,2274.37 764.519,2465.39 732.362,762.34 1267.66,1010.62 1221.61,1247.55 1177.33,1476.6 1134.35,1695.19 1093.48,1906 1054.63,2107.81 1016.39,2303.82 979.451,2492.76 943.541,811.886 1507.26,1056.35 1456.28,1290.05 1407.83,1515.42 1361.01,1731.34 1316.14,1937.7 1272.81,2138.55 1231.22,2331.67 1190.73,2519.68 1151.72,859.612 1741.86,1100.74 1685.59,1331.53 1633.03,1554.33 1582.35,1766.91 1533.59,1971.12 1486.62,2168.89 1441.35,2359.65 1397.64,2544.52 1355.57,906.872 1969.83,1144.22 1911.16,1371.55 1853.36,1591.47 1798.91,1801.43 1746.6,2002.45 1696.22,2198.12 1647.26,2386.4 1600.56,2569.25 1555.5
649.545 608.465,861.263 622.691,1079.38 638.929,1301.97 654.559,1526.27 668.947,1756.6 686.027,1992.65 701.603,2232.4 717.862,2477.42 734.368,632.425 830.552,845.152 847.914,1061.44 865.358,1282.81 882.941,1506.72 900.524,1734.85 918.56,1969.64 937.321,2208.58 955.959,2453.06 974.531,617.13 1052.34,828.507 1071.31,1044.34 1090.67,1264.35 1110.35,1487.3 1130.34,1714.64 1150.58,1948 1171.4,2185.64 1192.21,2429.08 1213.41,601.078 1272.42,811.799 1293.36,1026.35 1314.67,1245.45 1336.3,1467.49 1358.74,1693.99 1381.05,1926.43 1403.95,2162.43 1427.06,2405.26 1451.25,584.48 1490.98,794.558 1513.35,1008.15 1536.63,1226.66 1560.46,1447.84 1584.61,1673.29 1609.33,1904.52 1634.38,2140.2 1659.79,2380.94 1686.67,570.103 1707.42,777.489 1732.69,990.707 1756.97,1208.11 1783.19,1428.45 1809.12,1652.55 1835.52,1883.34 1862.68,2117.77 1890.8,2357.42 1920.05
656.361 745.952,836.412 726.339,1027.28 707.438,1225.6 686.386,1430.2 662.081,1648.17 640.729,1876.6 615.407,2115.98 590.251,2367.68 563.09,647.362 946.834,831.007 932.356,1021.71 916.594,1222.41 899.916,1430.65 882.56,1648.45 864.131,1880.55 845.865,2122.53 825.678,2378.06 803.672,639.659 1152.45,824.593 1141.84,1017.85 1131.11,1220.19 1119.2,1430.56 1107.13,1650.7 1093.66,1884.73 1080.59,2129.5 1065.95,2387.75 1050.19,631.251 1362.21,817.588 1355.94,1012.28 1349.67,1216.63 1343.2,1429.56 1336.49,1653.08 1328.96,1889.42 1321.17,2136.54 1312.67,2398.11 1303.53,621.477 1575.9,809.736 1574.31,1006.24 1572.82,1213.01 1571.11,1428.04 1569.71,1654.1 1568.36,1892.94 1566.34,2144.08 1564.49,2408.72 1563.26,613.863 1793.47,801.864 1797.45,1001.12 1800.66,1209.7 1804.59,1427.33 1808.63,1655.52 1812.91,1897.57 1817.51,2151.6 1822.79,2420.27 1828.72
808.565 573.736,1071.41 598,1313.24 622.176,1539.41 642.863,1751.38 660.014,1943.78 679.452,2128.32 695.543,2297.92 711.468,2458.66 726.04,814.467 834.838,1078.4 850.296,1322.59 863.174,1549.75 874.953,1760.33 886.344,1956.61 896.394,2137.94 906.845,2310.55 915.738,2472.63 923.831,820.234 1100.96,1085.92 1104.99,1330.46 1108.49,1559.31 1111.51,1770.26 1114.69,1968.36 1117.42,2151.39 1120.08,2324.65 1122.31,2487.69 1124.09,825.742 1370.83,1093.34 1363.74,1339.51 1357.72,1569.31 1351.93,1781.47 1346.56,1978.22 1341.14,2164.03 1336.43,2338.03 1331.42,2502.81 1327.06,830.86 1645.14,1100.76 1626.21,1349.21 1609.75,1580.22 1594.55,1793.45 1580.28,1991.69 1567.2,2177.6 1554.52,2352.03 1543.21,2516.41 1532.33,836.268 1922.52,1107.71 1893.34,1357.36 1865.57,1590.5 1840.55,1804.53 1817.53,2003.24 1796.11,2190.18 1775.77,2365.18 1757.45,2529.96 1740.06
698.209 788.911,915.753 785.396,1131.83 785.322,1345.58 782.176,1556.02 775.296,1763.39 775.878,1970.94 772.343,2174.37 770.697,2377.04 768.118,672.094 958.73,900.036 956.041,1124.74 952.134,1347.47 947.771,1566.6 943.469,1783.24 938.877,1997.82 938.335,2210.82 934.259,2421.63 929.823,644.536 1145.44,882.471 1140.54,1117.45 1136.01,1349.72 1130.5,1578.56 1125.84,1804.79 1119.41,2028.96 1115.65,2250.69 1110.44,2471.04 1104.58,613.687 1349.47,863.217 1342.8,1109.05 1336.33,1352.23 1330.11,1591.41 1323.75,1827.55 1317.65,2062.31 1311.06,2293.71 1304.18,2524.51 1296.46,579.345 1572.61,841.18 1564.02,1099.53 1555.19,1355.16 1546.86,1605.88 1539,1853.33 1531.22,2098.64 1522.93,2341.52 1515.46,2581.83 1507.17,542.601 1819.74,816.926 1809.31,1088.82 1799.01,1358.07 1787.64,1621.44 1777.54,1880.6 1767.94,2138.99 1758.62,2393.38 1749.41,2644.52 1739.05
650.902 841.715,885.547 769.5,1099.38 704.612,1298.37 643.348,1483.48 585.105,1650.21 534.266,1809.17 484.49,1954.44 439.63,2091.45 396.678,752.538 1078.14,980.281 997.355,1189.51 922.45,1382.85 853.07,1561.06 789.278,1726.78 729.674,1878.42 675.304,2022.12 623.271,2156.77 574.588,852.29 1310.76,1073.65 1220.52,1276.4 1137.42,1465.23 1060.12,1638.32 989.099,1800.7 923.108,1949.77 861.776,2090.55 804.001,2222.19 749.462,950.083 1539.47,1165.4 1440.29,1363.08 1349.21,1546.64 1264.56,1715.86 1186.54,1872.42 1114.26,2019.65 1046.38,2156.71 982.814,2286.61 923.03,1045.95 1764.4,1255.73 1655.68,1448.58 1557.02,1627.99 1465.22,1792.93 1380.14,1945.96 1301.44,2089.01 1227.54,2222.37 1158.62,2348.77 1093.88,1139.55 1984.65,1344.16 1868.54,1531.44 1761.42,1706.66 1662.47,1867.45 1571.27,2016.04 1486.48,2155.89 1406.7,2286.56 1332.7,2410.39 1263.17
2554.78 1903.79,2320.66 1904.87,2079.39 1896.2,1837.32 1893.26,1594.01 1890.51,1349.41 1885.4,1099.52 1882.32,849.564 1879.16,597.573 1875.25,2588.51 1686.35,2344.73 1680.51,2100.28 1676.49,1851.67 1671.97,1602.71 1667.34,1351.46 1663.45,1096.15 1657.42,838.098 1653.81,578.252 1649.52,2622.63 1456.2,2373.67 1450.98,2121.41 1444.2,1866.73 1438.89,1611.08 1432.74,1353.73 1426.76,1091.81 1420.93,826.33 1415.61,558.148 1410.69,2660.31 1213.71,2402.98 1207.14,2145.15 1199.16,1882.97 1192.12,1620.87 1184.84,1355.59 1177.52,1086.32 1170.35,813.415 1162.91,536.686 1157.38,2700.26 959.298,2436.52 950.107,2170.02 942.12,1900.71 933.415,1630.73 924.511,1358.07 915.613,1079.7 906.459,800.512 897.461,516.57 888.436,2741.14 687.733,2470.68 677.7,2196.95 668.316,1919.74 657.904,1641 647.652,1360.9 636.865,1074.36 625.585,785.165 615.322,494.414 604.194
2763.39 1799.84,2558.53 1818.54,2334.27 1831.58,2104.41 1848.39,1867.19 1865.9,1619.87 1882.43,1361.12 1901.82,1092.32 1921.21,812.421 1941.63,2773.15 1570.87,2559.49 1581.73,2338.93 1593.28,2107.31 1605.11,1868.37 1617.45,1620.36 1630.57,1359.22 1643.36,1088.23 1658.1,804.737 1673.66,2781.17 1337.35,2567.26 1344.07,2342.69 1350.7,2109.69 1358.01,1869.2 1365.44,1618.85 1373.4,1356.62 1381.51,1083.62 1390.39,797.392 1400.53,2789.81 1100.11,2573.37 1102.1,2348.27 1104.44,2113.42 1106.71,1871.18 1109.24,1618.86 1111.78,1353.78 1114.42,1078.88 1117.88,789.803 1121.21,2799.28 859.286,2581.4 857.209,2354.71 854.799,2117.58 852.361,1873.31 849.676,1618.66 846.53,1351.75 844.064,1073.55 840.873,782.765 837.491,2806.17 616.145,2589.37 607.794,2360.58 600.591,2122.38 592.746,1875.43 585.149,1619.16 576.78,1349.31 568.151,1068.38 558.344,774.371 548.557
2541.37 1860.82,2290.26 1837.95,2047.87 1807.97,1812.88 1783.7,1587.24 1760.98,1371.38 1736.86,1159.66 1715.29,955.965 1694.01,758.345 1673.88,2562.06 1628.09,2305.44 1604.34,2058.51 1583.04,1819.61 1562.23,1590.83 1542.32,1369.92 1523.32,1156.76 1503.38,948.728 1486.03,747.986 1468.86,2583.03 1386.03,2321.22 1367.85,2070.22 1349.38,1827.28 1332.52,1594.61 1316.23,1370.06 1300.23,1152.52 1284.92,941.485 1270.44,736.448 1257.31,2605.59 1134.12,2338.1 1120.32,2082.45 1107.15,1835.11 1094.06,1598.2 1081.71,1369.77 1070.12,1148 1058.5,933.808 1047.86,724.815 1037.38,2629.7 873.622,2356.66 865.018,2094.92 856.825,1842.73 848.234,1601.41 840.388,1368.64 832.574,1143.31 825.435,925.467 817.871,714.735 811.11,2653.41 602.884,2376.15 598.574,2108.85 595.645,1851.14 592.724,1604.97 589.348,1368.78 586.071,1138.5 582.727,916.897 579.391,702.607 576.377
